S,V
0.415,0.21945
0.414,0.2191
0.413,0.21875
0.412,0.2184
0.411,0.21805
0.41,0.2177
0.409,0.21735
0.408,0.21699
0.407,0.21664
0.406,0.21628
0.405,0.21592
0.404,0.21556
0.403,0.21521
0.402,0.21485
0.401,0.21449
0.4,0.21413
0.399,0.21376
0.398,0.2134
0.397,0.21304
0.396,0.21267
0.395,0.21231
0.394,0.21194
0.393,0.21158
0.392,0.21121
0.391,0.21084
0.39,0.21047
0.389,0.2101
0.388,0.20973
0.387,0.20936
0.386,0.20899
0.385,0.20861
0.384,0.20824
0.383,0.20787
0.382,0.20749
0.381,0.20711
0.38,0.20674
0.379,0.20636
0.378,0.20598
0.377,0.2056
0.376,0.20522
0.375,0.20484
0.374,0.20446
0.373,0.20408
0.372,0.2037
0.371,0.20331
0.37,0.20293
0.369,0.20254
0.368,0.20216
0.367,0.20177
0.366,0.20138
0.365,0.201
0.364,0.20061
0.363,0.20022
0.362,0.19983
0.361,0.19944
0.36,0.19904
0.359,0.19865
0.358,0.19826
0.357,0.19787
0.356,0.19747
0.355,0.19708
0.354,0.19668
0.353,0.19628
0.352,0.19589
0.351,0.19549
0.35,0.19509
0.349,0.19469
0.348,0.19429
0.347,0.19389
0.346,0.19349
0.345,0.19308
0.344,0.19268
0.343,0.19228
0.342,0.19187
0.341,0.19147
0.34,0.19106
0.339,0.19066
0.338,0.19025
0.337,0.18984
0.336,0.18943
0.335,0.18902
0.334,0.18861
0.333,0.1882
0.332,0.18779
0.331,0.18738
0.33,0.18696
0.329,0.18655
0.328,0.18614
0.327,0.18572
0.326,0.18531
0.325,0.18489
0.324,0.18447
0.323,0.18405
0.322,0.18364
0.321,0.18322
0.32,0.1828
0.319,0.18238
0.318,0.18195
0.317,0.18153
0.316,0.18111
0.315,0.18069
0.314,0.18026
0.313,0.17984
0.312,0.17941
0.311,0.17899
0.31,0.17856
0.309,0.17813
0.308,0.1777
0.307,0.17727
0.306,0.17684
0.305,0.17641
0.304,0.17598
0.303,0.17555
0.302,0.17512
0.301,0.17468
0.3,0.17425
0.299,0.17381
0.298,0.17338
0.297,0.17294
0.296,0.1725
0.295,0.17207
0.294,0.17163
0.293,0.17119
0.292,0.17075
0.291,0.17031
0.29,0.16987
0.289,0.16942
0.288,0.16898
0.287,0.16854
0.286,0.16809
0.285,0.16765
0.284,0.1672
0.283,0.16676
0.282,0.16631
0.281,0.16586
0.28,0.16541
0.279,0.16496
0.278,0.16451
0.277,0.16406
0.276,0.16361
0.275,0.16316
0.274,0.1627
0.273,0.16225
0.272,0.16179
0.271,0.16134
0.27,0.16088
0.269,0.16043
0.268,0.15997
0.267,0.15951
0.266,0.15905
0.265,0.15859
0.264,0.15813
0.263,0.15767
0.262,0.1572
0.261,0.15674
0.26,0.15628
0.259,0.15581
0.258,0.15535
0.257,0.15488
0.256,0.15441
0.255,0.15395
0.254,0.15348
0.253,0.15301
0.252,0.15254
0.251,0.15207
0.25,0.15159
0.249,0.15112
0.248,0.15065
0.247,0.15017
0.246,0.1497
0.245,0.14922
0.244,0.14875
0.243,0.14827
0.242,0.14779
0.241,0.14731
0.24,0.14683
0.239,0.14635
0.238,0.14587
0.237,0.14539
0.236,0.1449
0.235,0.14442
0.234,0.14394
0.233,0.14345
0.232,0.14296
0.231,0.14248
0.23,0.14199
0.229,0.1415
0.228,0.14101
0.227,0.14052
0.226,0.14003
0.225,0.13953
0.224,0.13904
0.223,0.13855
0.222,0.13805
0.221,0.13756
0.22,0.13706
0.219,0.13656
0.218,0.13606
0.217,0.13556
0.216,0.13506
0.215,0.13456
0.214,0.13406
0.213,0.13356
0.212,0.13305
0.211,0.13255
0.21,0.13204
0.209,0.13154
0.208,0.13103
0.207,0.13052
0.206,0.13001
0.205,0.1295
0.204,0.12899
0.203,0.12848
0.202,0.12797
0.201,0.12745
0.2,0.12694
0.199,0.12642
0.198,0.12591
0.197,0.12539
0.196,0.12487
0.195,0.12435
0.194,0.12383
0.193,0.12331
0.192,0.12279
0.191,0.12227
0.19,0.12174
0.189,0.12122
0.188,0.12069
0.187,0.12017
0.186,0.11964
0.185,0.11911
0.184,0.11858
0.183,0.11805
0.182,0.11752
0.181,0.11698
0.18,0.11645
0.179,0.11592
0.178,0.11538
0.177,0.11484
0.176,0.11431
0.175,0.11377
0.174,0.11323
0.173,0.11269
0.172,0.11215
0.171,0.1116
0.17,0.11106
0.169,0.11052
0.168,0.10997
0.167,0.10942
0.166,0.10888
0.165,0.10833
0.164,0.10778
0.163,0.10723
0.162,0.10668
0.161,0.10612
0.16,0.10557
0.159,0.10501
0.158,0.10446
0.157,0.1039
0.156,0.10334
0.155,0.10278
0.154,0.10222
0.153,0.10166
0.152,0.1011
0.151,0.10054
0.15,0.099971
0.149,0.099405
0.148,0.098839
0.147,0.098271
0.146,0.097702
0.145,0.097131
0.144,0.09656
0.143,0.095988
0.142,0.095414
0.141,0.09484
0.14,0.094264
0.139,0.093687
0.138,0.093109
0.137,0.09253
0.136,0.09195
0.135,0.091368
0.134,0.090786
0.133,0.090202
0.132,0.089617
0.131,0.089031
0.13,0.088444
0.129,0.087855
0.128,0.087266
0.127,0.086675
0.126,0.086083
0.125,0.08549
0.124,0.084895
0.123,0.0843
0.122,0.083703
0.121,0.083105
0.12,0.082506
0.119,0.081905
0.118,0.081303
0.117,0.0807
0.116,0.080096
0.115,0.079491
0.114,0.078884
0.113,0.078276
0.112,0.077667
0.111,0.077057
0.11,0.076445
0.109,0.075832
0.108,0.075218
0.107,0.074602
0.106,0.073985
0.105,0.073367
0.104,0.072748
0.103,0.072127
0.102,0.071505
0.101,0.070882
0.1,0.070257
0.099,0.069631
0.098,0.069003
0.097,0.068375
0.096,0.067745
0.095,0.067113
0.094,0.066481
0.093,0.065847
0.092,0.065211
